[	X	nmod	CISCO
'	PUNCT	punct	WORK
,	PUNCT	punct	WORK
'	PUNCT	punct	EXPERIENCE
EXPERIENCE	NOUN	conj	WORK
'	PUNCT	punct	EXPERIENCE
,	PUNCT	punct	EXPERIENCE
'	PUNCT	punct	EDUCATION
EDUCATION	NOUN	appos	EXPERIENCE
'	PUNCT	punct	EDUCATION
,	PUNCT	punct	EXPERIENCE
'	PUNCT	punct	DYLAN
DYLAN	NOUN	appos	EXPERIENCE
'	PUNCT	punct	DYLAN
,	PUNCT	punct	DYLAN
'	PUNCT	punct	HERNANDEZ
HERNANDEZ	NOUN	appos	DYLAN
'	PUNCT	punct	HERNANDEZ
,	PUNCT	punct	HERNANDEZ
'	PUNCT	punct	GRADUATE
GRADUATE	NOUN	appos	HERNANDEZ
'	PUNCT	punct	GRADUATE
,	PUNCT	punct	GRADUATE
'	PUNCT	punct	MACHINE
MACHINE	NOUN	appos	GRADUATE
'	PUNCT	punct	MACHINE
,	PUNCT	punct	MACHINE
'	PUNCT	punct	LEARNING
LEARNING	NOUN	appos	MACHINE
