[	X	nmod	CISCO
'	PUNCT	punct	LEARNING
,	PUNCT	punct	LEARNING
'	PUNCT	punct	DEVELOPER
DEVELOPER	NOUN	appos	LEARNING
'	PUNCT	punct	DEVELOPER
,	PUNCT	punct	DEVELOPER
'	PUNCT	punct	Experienced
Experienced	ADJ	conj	CISCO
'	PUNCT	punct	Experienced
,	PUNCT	punct	Experienced
'	PUNCT	punct	software
software	NOUN	conj	Experienced
'	PUNCT	punct	software
,	PUNCT	punct	software
'	PUNCT	punct	professional
professional	ADJ	appos	software
